date,value
1950-01-01,23.5100
1950-02-01,23.6100
1950-03-01,23.6400
1950-04-01,23.6500
1950-05-01,23.7700
1950-06-01,23.8800
1950-07-01,24.0700
1950-08-01,24.2000
1950-09-01,24.3400
1950-10-01,24.5000
1950-11-01,24.6000
1950-12-01,24.9800
1951-01-01,25.3800
1951-02-01,25.8300
1951-03-01,25.8800
1951-04-01,25.9200
1951-05-01,25.9900
1951-06-01,25.9300
1951-07-01,25.9100
1951-08-01,25.8600
1951-09-01,26.0300
1951-10-01,26.1600
1951-11-01,26.3200
1951-12-01,26.4700
1952-01-01,26.4500
1952-02-01,26.4100
1952-03-01,26.3900
1952-04-01,26.4600
1952-05-01,26.4700
1952-06-01,26.5300
1952-07-01,26.6800
1952-08-01,26.6900
1952-09-01,26.6300
1952-10-01,26.6900
1952-11-01,26.6900
1952-12-01,26.7100
1953-01-01,26.6400
1953-02-01,26.5900
1953-03-01,26.6300
1953-04-01,26.6900
1953-05-01,26.7000
1953-06-01,26.7700
1953-07-01,26.7900
1953-08-01,26.8500
1953-09-01,26.8900
1953-10-01,26.9500
1953-11-01,26.8500
1953-12-01,26.8700
1954-01-01,26.9400
1954-02-01,26.9900
1954-03-01,26.9300
1954-04-01,26.8600
1954-05-01,26.9300
1954-06-01,26.9400
1954-07-01,26.8600
1954-08-01,26.8500
1954-09-01,26.8100
1954-10-01,26.7200
1954-11-01,26.7800
1954-12-01,26.7700
1955-01-01,26.7700
1955-02-01,26.8200
1955-03-01,26.7900
1955-04-01,26.7900
1955-05-01,26.7700
1955-06-01,26.7100
1955-07-01,26.7600
1955-08-01,26.7200
1955-09-01,26.8500
1955-10-01,26.8200
1955-11-01,26.8800
1955-12-01,26.8700
1956-01-01,26.8300
1956-02-01,26.8600
1956-03-01,26.8900
1956-04-01,26.9300
1956-05-01,27.0300
1956-06-01,27.1500
1956-07-01,27.2900
1956-08-01,27.3100
1956-09-01,27.3500
1956-10-01,27.5100
1956-11-01,27.5100
1956-12-01,27.6300
1957-01-01,27.6700
1957-02-01,27.8000
1957-03-01,27.8600
1957-04-01,27.9300
1957-05-01,28.0000
1957-06-01,28.1100
1957-07-01,28.1900
1957-08-01,28.2800
1957-09-01,28.3200
1957-10-01,28.3200
1957-11-01,28.4100
1957-12-01,28.4700
1958-01-01,28.6400
1958-02-01,28.7000
1958-03-01,28.8700
1958-04-01,28.9400
1958-05-01,28.9400
1958-06-01,28.9100
1958-07-01,28.8900
1958-08-01,28.9400
1958-09-01,28.9100
1958-10-01,28.9100
1958-11-01,28.9500
1958-12-01,28.9700
1959-01-01,29.0100
