date,open,high,low,close,volume,adj_close
1980-12-12,0.1283,0.1289,0.1283,0.1283,469033600,0.0982
1980-12-15,0.1222,0.1222,0.1217,0.1217,175884800,0.0931
1980-12-16,0.1133,0.1133,0.1127,0.1127,105728000,0.0863
1980-12-17,0.1155,0.1161,0.1155,0.1155,86441600,0.0884
1980-12-18,0.1189,0.1194,0.1189,0.1189,73449600,0.0909
1980-12-19,0.1261,0.1267,0.1261,0.1261,48630400,0.0965
1980-12-22,0.1323,0.1328,0.1323,0.1323,37363200,0.1012
1980-12-23,0.1378,0.1384,0.1378,0.1378,46950400,0.1055
1980-12-24,0.1451,0.1456,0.1451,0.1451,48003200,0.1110
1980-12-26,0.1585,0.1590,0.1585,0.1585,55574400,0.1213
1980-12-29,0.1607,0.1613,0.1607,0.1607,93161600,0.1230
1980-12-30,0.1574,0.1574,0.1568,0.1568,68880000,0.1200
1980-12-31,0.1529,0.1529,0.1523,0.1523,35750400,0.1166
1981-01-02,0.1540,0.1551,0.1540,0.1540,21660800,0.1178
1981-01-05,0.1512,0.1512,0.1507,0.1507,35728000,0.1153
1981-01-06,0.1445,0.1445,0.1440,0.1440,45158400,0.1102
1981-01-07,0.1384,0.1384,0.1378,0.1378,55686400,0.1055
1981-01-08,0.1356,0.1356,0.1350,0.1350,39827200,0.1033
1981-01-09,0.1423,0.1429,0.1423,0.1423,21504000,0.1089
1981-01-12,0.1423,0.1423,0.1412,0.1412,23699200,0.1080
1981-01-13,0.1367,0.1367,0.1362,0.1362,23049600,0.1042
1981-01-14,0.1367,0.1373,0.1367,0.1367,14291200,0.1046
1981-01-15,0.1395,0.1406,0.1395,0.1395,14067200,0.1067
1981-01-16,0.1390,0.1390,0.1384,0.1384,13395200,0.1059
1981-01-19,0.1468,0.1473,0.1468,0.1468,41574400,0.1123
1981-01-20,0.1429,0.1429,0.1423,0.1423,30083200,0.1089
1981-01-21,0.1451,0.1462,0.1451,0.1451,15904000,0.1110
1981-01-22,0.1468,0.1479,0.1468,0.1468,35548800,0.1123
1981-01-23,0.1468,0.1473,0.1462,0.1462,11222400,0.1119
1981-01-26,0.1445,0.1445,0.1440,0.1440,24640000,0.1102
1981-01-27,0.1440,0.1440,0.1429,0.1429,23699200,0.1093
1981-01-28,0.1390,0.1390,0.1384,0.1384,28156800,0.1059
1981-01-29,0.1339,0.1339,0.1334,0.1334,43904000,0.1021
1981-01-30,0.1272,0.1272,0.1261,0.1261,46188800,0.0965
1981-02-02,0.1194,0.1194,0.1189,0.1189,23766400,0.0909
1981-02-03,0.1233,0.1239,0.1233,0.1233,19152000,0.0944
1981-02-04,0.1278,0.1283,0.1278,0.1278,27865600,0.0978
1981-02-05,0.1278,0.1289,0.1278,0.1278,7929600,0.0978
1981-02-06,0.1283,0.1289,0.1283,0.1283,13865600,0.0982
1981-02-09,0.1228,0.1228,0.1217,0.1217,16755200,0.0931
1981-02-10,0.1217,0.1222,0.1217,0.1217,18345600,0.0931
1981-02-11,0.1183,0.1183,0.1177,0.1177,13843200,0.0901
1981-02-12,0.1172,0.1172,0.1166,0.1166,14560000,0.0892
1981-02-13,0.1150,0.1150,0.1138,0.1138,11155200,0.0871
1981-02-17,0.1166,0.1172,0.1166,0.1166,12275200,0.0892
1981-02-18,0.1217,0.1228,0.1217,0.1217,19241600,0.0931
1981-02-19,0.1150,0.1150,0.1144,0.1144,22310400,0.0875
1981-02-20,0.1088,0.1088,0.1083,0.1083,24371200,0.0828
1981-02-23,0.1099,0.1105,0.1099,0.1099,14112000,0.0841
1981-02-24,0.1071,0.1071,0.1060,0.1060,16979200,0.0811
1981-02-25,0.1127,0.1133,0.1127,0.1127,19488000,0.0863
1981-02-26,0.1144,0.1150,0.1144,0.1144,10841600,0.0875
1981-02-27,0.1183,0.1194,0.1183,0.1183,14761600,0.0905
1981-03-02,0.1189,0.1194,0.1189,0.1189,11760000,0.0909
1981-03-03,0.1177,0.1177,0.1172,0.1172,16172800,0.0897
1981-03-04,0.1166,0.1166,0.1161,0.1161,13708800,0.0888
1981-03-05,0.1161,0.1161,0.1155,0.1155,5376000,0.0884
1981-03-06,0.1155,0.1155,0.1144,0.1144,11603200,0.0875
1981-03-09,0.1060,0.1060,0.1055,0.1055,15321600,0.0807
1981-03-10,0.1010,0.1010,0.1004,0.1004,28380800,0.0769
1981-03-11,0.0977,0.0977,0.0965,0.0965,29859200,0.0739
1981-03-12,0.1004,0.1010,0.1004,0.1004,59248000,0.0769
1981-03-13,0.0999,0.0999,0.0993,0.0993,231302400,0.0760
1981-03-16,0.1032,0.1044,0.1032,0.1032,37228800,0.0790
1981-03-17,0.1083,0.1094,0.1083,0.1083,43747200,0.0828
1981-03-18,0.1150,0.1161,0.1150,0.1150,36937600,0.0880
1981-03-19,0.1144,0.1144,0.1138,0.1138,37811200,0.0871
1981-03-20,0.1150,0.1161,0.1150,0.1150,14604800,0.0880
1981-03-23,0.1194,0.1205,0.1194,0.1194,22019200,0.0914
1981-03-24,0.1194,0.1194,0.1189,0.1189,28156800,0.0909
1981-03-25,0.1177,0.1177,0.1166,0.1166,7056000,0.0892
1981-03-26,0.1150,0.1150,0.1144,0.1144,12275200,0.0875
1981-03-27,0.1110,0.1110,0.1105,0.1105,12252800,0.0845
1981-03-30,0.1105,0.1116,0.1105,0.1105,9900800,0.0845
1981-03-31,0.1105,0.1105,0.1094,0.1094,15993600,0.0837
1981-04-01,0.1088,0.1088,0.1083,0.1083,34070400,0.0828
1981-04-02,0.1177,0.1183,0.1177,0.1177,31404800,0.0901
1981-04-03,0.1183,0.1189,0.1183,0.1183,16486400,0.0905
1981-04-06,0.1166,0.1166,0.1161,0.1161,22803200,0.0888
1981-04-07,0.1155,0.1155,0.1150,0.1150,10684800,0.0880
1981-04-08,0.1205,0.1217,0.1205,0.1205,21952000,0.0922
1981-04-09,0.1228,0.1233,0.1228,0.1228,12499200,0.0939
1981-04-10,0.1244,0.1250,0.1244,0.1244,33465600,0.0952
1981-04-13,0.1244,0.1250,0.1244,0.1244,16060800,0.0952
1981-04-14,0.1244,0.1250,0.1244,0.1244,6652800,0.0952
