date,open,high,low,close,volume,adj_close
2004-08-19,2.5025,2.6041,2.4014,2.5110,893181924,2.4889
2004-08-20,2.5278,2.7297,2.5150,2.7105,456686856,2.6866
2004-08-23,2.7715,2.8398,2.7290,2.7377,365122512,2.7137
2004-08-24,2.7838,2.7928,2.5918,2.6244,304946748,2.6013
2004-08-25,2.6266,2.7027,2.5996,2.6527,183772044,2.6293
2004-08-26,2.6264,2.7015,2.6191,2.7004,141897960,2.6767
2004-08-27,2.7052,2.7182,2.6449,2.6564,124235640,2.6331
2004-08-30,2.6346,2.6399,2.5528,2.5528,103935960,2.5304
2004-08-31,2.5601,2.5953,2.5566,2.5618,98357544,2.5393
2004-09-01,2.5701,2.5768,2.4942,2.5088,182765052,2.4867
2004-09-02,2.4822,2.5618,2.4760,2.5403,302373324,2.5180
2004-09-03,2.5263,2.5460,2.4855,2.5028,103048848,2.4808
2004-09-07,2.5278,2.5526,2.4927,2.5420,116950932,2.5197
2004-09-08,2.5210,2.5783,2.5150,2.5601,99712188,2.5376
2004-09-09,2.5658,2.5703,2.5275,2.5603,81234684,2.5378
2004-09-10,2.5425,2.6667,2.5350,2.6359,173977848,2.6127
2004-09-13,2.6684,2.7130,2.6642,2.6902,156882960,2.6665
2004-09-14,2.6889,2.8028,2.6724,2.7900,216579204,2.7655
2004-09-15,2.7668,2.8586,2.7578,2.8028,214261524,2.7782
2004-09-16,2.8113,2.8979,2.7940,2.8521,185326488,2.8270
2004-09-17,2.8634,2.9402,2.8416,2.9402,189450360,2.9143
2004-09-20,2.9267,3.0430,2.9222,2.9870,212575212,2.9607
2004-09-21,2.9982,3.0135,2.9407,2.9489,144575280,2.9230
2004-09-22,2.9379,2.9947,2.9232,2.9625,151624224,2.9364
2004-09-23,2.9740,3.0688,2.9284,3.0235,170713116,2.9969
2004-09-24,3.0265,3.1056,2.9970,2.9987,182469348,2.9724
2004-09-27,2.9920,3.0250,2.9479,2.9595,141322536,2.9334
2004-09-28,3.0355,3.1882,3.0083,3.1747,338581080,3.1468
2004-09-29,3.1707,3.3789,3.1589,3.2803,610329060,3.2514
2004-09-30,3.2508,3.3108,3.2282,3.2432,275160564,3.2147
2004-10-01,3.2733,3.3594,3.2257,3.3178,302497200,3.2887
2004-10-04,3.3846,3.4252,3.3541,3.3799,260455284,3.3502
2004-10-05,3.3699,3.4667,3.3093,3.4627,299464236,3.4323
2004-10-06,3.4422,3.4647,3.4034,3.4304,267628104,3.4003
2004-10-07,3.4264,3.5005,3.4172,3.4747,282301416,3.4442
2004-10-08,3.4715,3.4955,3.4289,3.4467,221390388,3.4164
2004-10-11,3.4284,3.4750,3.3496,3.3849,209442348,3.3551
2004-10-12,3.3644,3.4437,3.3383,3.4384,233310456,3.4082
2004-10-13,3.5866,3.5923,3.5055,3.5260,395324280,3.4950
2004-10-14,3.5288,3.5631,3.4675,3.5536,208842948,3.5223
2004-10-15,3.6269,3.6411,3.5523,3.6064,263895840,3.5747
2004-10-18,3.5836,3.7337,3.5338,3.7327,280726992,3.6999
2004-10-19,3.7663,3.8138,3.6874,3.7022,362197440,3.6697
2004-10-20,3.7045,3.7285,3.4935,3.5158,454453092,3.4849
2004-10-21,3.6136,3.7570,3.5440,3.7382,582996420,3.7054
2004-10-22,4.2678,4.5088,4.1061,4.3151,1474200324,4.2771
2004-10-25,4.4144,4.8656,4.3181,4.6897,1309257432,4.6485
2004-10-26,4.6632,4.8208,4.5045,4.5496,891391716,4.5096
2004-10-27,4.5726,4.7427,4.5488,4.6539,533725740,4.6130
2004-10-28,4.6717,4.8646,4.6446,4.8373,593278128,4.7948
2004-10-29,4.9772,5.0038,4.7698,4.7708,845653500,4.7288
2004-11-01,4.8436,4.9467,4.7865,4.9057,488507004,4.8625
2004-11-02,4.9745,4.9862,4.8383,4.8766,453398148,4.8338
2004-11-03,4.9595,5.0450,4.7735,4.7965,554992452,4.7544
2004-11-04,4.7157,4.7648,4.5883,4.6221,575807616,4.5815
2004-11-05,4.5541,4.5621,4.2180,4.2380,792530676,4.2007
2004-11-08,4.2775,4.3904,4.2392,4.3181,447224328,4.2801
2004-11-09,4.3569,4.3844,4.1359,4.2217,442125432,4.1846
2004-11-10,4.2710,4.3173,4.1624,4.2007,425334240,4.1638
2004-11-11,4.2325,4.5983,4.1934,4.5801,598820580,4.5398
2004-11-12,4.6354,4.7498,4.4394,4.5546,669174156,4.5145
2004-11-15,4.5158,4.7127,4.4732,4.6264,475583940,4.5857
2004-11-16,4.4419,4.4912,4.2750,4.3178,835859304,4.2799
2004-11-17,4.2297,4.4419,4.2292,4.3168,724590684,4.2789
2004-11-18,4.2615,4.3649,4.1474,4.1927,664518816,4.1558
2004-11-19,4.2317,4.2538,4.1672,4.2392,350421228,4.2020
2004-11-22,4.1159,4.2417,4.0368,4.1316,494233272,4.0953
2004-11-23,4.2035,4.2750,4.1667,4.1922,496035468,4.1553
2004-11-24,4.3749,4.4347,4.3171,4.3734,610628760,4.3349
2004-11-26,4.3994,4.5053,4.3874,4.4892,258944796,4.4498
2004-11-29,4.5135,4.5783,4.4422,4.5308,426237336,4.4910
2004-11-30,4.5223,4.5796,4.5108,4.5541,307692000,4.5140
2004-12-01,4.5533,4.5671,4.4932,4.5035,314249436,4.4639
2004-12-02,4.5020,4.5423,4.4682,4.4895,250185564,4.4500
2004-12-03,4.5033,4.5310,4.4444,4.5145,234533232,4.4748
2004-12-06,4.4827,4.5220,4.4049,4.4117,249909840,4.3729
2004-12-07,4.4044,4.4094,4.2680,4.2900,274561164,4.2523
2004-12-08,4.2630,4.3463,4.2225,4.2538,301370328,4.2164
2004-12-09,4.2605,4.3418,4.2160,4.3401,305853840,4.3019
2004-12-10,4.3401,4.3764,4.2865,4.2955,172515312,4.2578
2004-12-13,4.3086,4.3338,4.2405,4.2655,192551256,4.2280
2004-12-14,4.2793,4.4750,4.2442,4.4717,443092464,4.4324
2004-12-15,4.4542,4.5218,4.4209,4.4990,458381160,4.4595
2004-12-16,4.4282,4.5168,4.4032,4.4162,342569088,4.3774
2004-12-17,4.4234,4.5170,4.4182,4.5065,295152552,4.4669
2004-12-20,4.5546,4.7162,4.5513,4.6301,392986620,4.5894
