date,open,high,low,close,volume,adj_close
1972-06-01,1.5833,1.6019,1.5833,1.6019,318600,0.3746
1972-06-02,1.6019,1.6181,1.5972,1.5972,140400,0.3735
1972-06-05,1.5972,1.5995,1.5440,1.5741,469800,0.3691
1972-06-06,1.5602,1.5602,1.5556,1.5602,140400,0.3659
1972-06-07,1.5602,1.5625,1.5463,1.5509,178200,0.3637
1972-06-08,1.5509,1.5556,1.5417,1.5509,432000,0.3637
1972-06-09,1.5509,1.5556,1.5486,1.5532,199800,0.3643
1972-06-12,1.5532,1.5556,1.5463,1.5486,183600,0.3632
1972-06-13,1.5509,1.5671,1.5509,1.5671,415800,0.3675
1972-06-14,1.5718,1.5880,1.5718,1.5833,216000,0.3713
1972-06-15,1.5833,1.5880,1.5764,1.5787,178200,0.3702
1972-06-16,1.5787,1.5880,1.5694,1.5764,183600,0.3697
1972-06-19,1.5764,1.5833,1.5602,1.5718,324000,0.3686
1972-06-20,1.5718,1.5741,1.5648,1.5718,129600,0.3686
1972-06-21,1.5718,1.5833,1.5671,1.5741,356400,0.3691
1972-06-22,1.5741,1.5856,1.5694,1.5833,324000,0.3713
1972-06-23,1.5833,1.5949,1.5833,1.5926,275400,0.3735
1972-06-26,1.5926,1.5926,1.5787,1.5787,194400,0.3702
1972-06-27,1.5787,1.5833,1.5694,1.5694,669600,0.3681
1972-06-28,1.5694,1.5718,1.5648,1.5671,75600,0.3675
1972-06-29,1.5671,1.5764,1.5463,1.5671,280800,0.3675
1972-06-30,1.5671,1.5741,1.5486,1.5532,135000,0.3643
1972-07-03,1.5532,1.5556,1.5417,1.5509,216000,0.3637
1972-07-05,1.5509,1.5532,1.5324,1.5532,372600,0.3643
1972-07-06,1.5532,1.5856,1.5532,1.5694,793800,0.3681
1972-07-07,1.5671,1.5671,1.5463,1.5463,259200,0.3626
1972-07-10,1.5463,1.5602,1.5324,1.5463,372600,0.3626
1972-07-11,1.5463,1.5625,1.5394,1.5579,1080000,0.3653
1972-07-12,1.5579,1.5671,1.5579,1.5602,367200,0.3659
1972-07-13,1.5602,1.5694,1.5509,1.5694,302400,0.3681
1972-07-14,1.5718,1.6296,1.5718,1.6250,993600,0.3811
1972-07-17,1.6250,1.6389,1.6088,1.6157,561600,0.3789
1972-07-18,1.6157,1.6157,1.5926,1.5972,302400,0.3746
1972-07-19,1.5972,1.6019,1.5787,1.5787,356400,0.3702
1972-07-20,1.5741,1.5741,1.5648,1.5648,243000,0.3670
